27 29 32 33 36 37 40 37, SAFE

61 62 63 66 66, SAFE

53 54 57 60 61 62 63 67, SAFE

5 7 10 12 14 16 18 23, SAFE

71 74 77 80 83 80 83, NOT safe

22 25 28 30 33 30 32 29, NOT safe

44 47 49 48 48, NOT safe

3 6 8 10 13 14 11 15, SAFE

19 20 18 21 27, NOT safe

64 66 69 69 72, SAFE

40 41 44 45 45 42, NOT safe

67 70 70 72 72, NOT safe

38 39 42 44 44 48, NOT safe

10 12 14 16 19 19 26, NOT safe

6 7 11 12 14 15, NOT safe

14 15 16 18 19 23 21, SAFE

6 7 11 14 14, NOT safe

1 2 5 7 11 13 17, NOT safe

4 5 6 9 13 19, NOT safe

52 54 60 62 63 66, NOT safe

65 67 69 71 76 77 75, NOT safe

70 71 73 80 81 81, NOT safe

64 65 70 73 75 79, NOT safe

59 62 64 67 74 81, NOT safe

67 65 68 71 72 73 74, SAFE

65 64 66 69 67, NOT safe

24 21 22 24 27 29 29, NOT safe

32 29 32 35 37 38 40 44, NOT safe

79 76 77 80 87, NOT safe

51 48 46 47 50, NOT safe

33 32 34 33 35 32, NOT safe

99 96 98 97 97, NOT safe

41 40 42 45 44 48, NOT safe

83 80 82 81 88, NOT safe

42 41 41 42 43 44, NOT safe

15 12 12 13 15 12, NOT safe

95 92 94 94 94, NOT safe

54 51 53 53 55 57 61, NOT safe

87 86 89 91 91 98, NOT safe

10 9 13 14 17 20, SAFE

39 37 41 43 44 42, NOT safe

31 30 31 35 37 40 41 41, NOT safe

31 28 31 34 38 42, NOT safe

28 26 30 32 39, NOT safe

27 24 25 32 33 36, NOT safe

72 69 74 75 76 78 77, NOT safe

34 33 35 38 41 42 48 48, NOT safe

69 68 70 77 78 80 84, NOT safe

16 15 16 22 24 27 28 33, NOT safe

39 39 40 41 42 45, SAFE

61 61 63 65 68 70 73 71, NOT safe

93 93 95 98 98, NOT safe

54 54 55 56 60, NOT safe

34 34 35 38 45, NOT safe

53 53 56 53 55, NOT safe

69 69 68 69 72 71, NOT safe

30 30 31 30 30, NOT safe

66 66 64 67 71, NOT safe

6 6 7 5 10, NOT safe

11 11 12 15 15 18 19, NOT safe

56 56 59 59 58, NOT safe

51 51 53 54 54 55 56 56, NOT safe

70 70 70 71 73 74 78, NOT safe

11 11 11 12 19, NOT safe

48 48 52 54 56 59 62 64, NOT safe

33 33 36 40 42 40, NOT safe

78 78 80 84 87 88 88, NOT safe

61 61 62 64 68 72, NOT safe

27 27 30 33 35 39 40 45, NOT safe

37 37 44 47 48 49 50, NOT safe

2 2 9 10 11 8, NOT safe

29 29 36 38 40 40, NOT safe

16 16 17 18 23 27, NOT safe

56 56 63 64 66 72, NOT safe

16 20 22 24 27 30 31 32, SAFE

2 6 9 12 13 15 18 16, NOT safe

64 68 70 72 75 76 77 77, NOT safe

35 39 41 42 44 45 49, NOT safe

29 33 35 38 40 46, NOT safe

77 81 82 84 82 84, NOT safe

67 71 72 73 76 75 72, NOT safe

45 49 50 47 50 50, NOT safe

50 54 53 56 60, NOT safe

30 34 31 32 35 42, NOT safe

70 74 76 78 78 81, NOT safe

87 91 91 93 90, NOT safe

4 8 11 14 17 17 18 18, NOT safe

9 13 14 15 18 20 20 24, NOT safe

48 52 53 54 56 56 57 62, NOT safe

21 25 27 31 34 36 39, NOT safe

3 7 11 13 12, NOT safe

26 30 33 37 37, NOT safe

4 8 12 13 14 17 21, NOT safe

64 68 69 71 75 76 77 84, NOT safe

17 21 28 29 30, NOT safe

82 86 88 94 92, NOT safe

40 44 47 48 54 56 59 59, NOT safe

36 40 41 48 51 55, NOT safe

36 40 43 44 47 54 56 61, NOT safe

21 28 30 33 35 36, SAFE

29 35 37 38 40 41 44 43, NOT safe

3 9 10 11 14 15 16 16, NOT safe

36 41 43 44 47 51, NOT safe

61 66 69 71 76, NOT safe

54 59 62 61 63, NOT safe

19 25 28 31 34 31 29, NOT safe

45 50 52 55 52 52, NOT safe

72 77 80 79 83, NOT safe

69 74 76 73 80, NOT safe

17 24 24 27 28, NOT safe

39 44 44 46 44, NOT safe

67 74 76 77 79 80 80 80, NOT safe

59 66 68 68 71 73 77, NOT safe

2 7 10 12 13 13 15 20, NOT safe

17 24 25 26 30 31 32, NOT safe

4 9 11 14 15 19 16, NOT safe

67 72 75 78 82 84 84, NOT safe

70 76 79 82 84 88 92, NOT safe

63 70 73 77 78 79 86, NOT safe

39 45 47 50 53 59 61, NOT safe

8 14 20 23 24 25 22, NOT safe

54 61 67 70 70, NOT safe

27 34 36 37 44 45 49, NOT safe

22 29 36 39 40 43 48, NOT safe

58 56 55 54 52 51 50 51, SAFE

18 17 16 13 11 8 8, SAFE

57 55 52 49 48 45 41, SAFE

32 30 29 26 20, SAFE

11 8 7 4 5 2, SAFE

30 28 30 28 27 25 28, NOT safe

99 97 94 96 96, NOT safe

15 13 15 13 9, NOT safe

29 28 30 28 26 23 21 16, NOT safe

34 31 29 27 27 24, SAFE

74 73 72 72 74, NOT safe

19 18 15 15 13 11 11, NOT safe

56 54 54 52 51 49 47 43, NOT safe

83 80 80 78 76 74 67, NOT safe

47 45 44 42 38 36 35, NOT safe

20 17 16 12 10 13, NOT safe

98 97 94 90 89 88 86 86, NOT safe

75 72 68 66 62, NOT safe

71 70 67 63 60 53, NOT safe

45 43 42 39 37 36 31 30, NOT safe

25 24 21 20 15 16, NOT safe

96 94 92 90 88 83 82 82, NOT safe

74 72 69 64 63 59, NOT safe

89 88 82 79 77 70, NOT safe

97 99 96 93 92 91 88, SAFE

75 78 76 73 71 73, NOT safe

19 21 20 19 18 15 12 12, NOT safe

33 34 31 28 26 23 19, NOT safe

77 79 78 77 75 74 73 68, NOT safe

20 23 21 19 16 19 17 16, NOT safe

66 68 67 65 64 65 64 66, NOT safe

24 26 23 22 23 22 22, NOT safe

86 87 89 86 85 82 78, NOT safe

91 93 91 89 86 88 83, NOT safe

57 60 60 58 55 52, NOT safe

48 49 49 46 44 41 40 42, NOT safe

96 98 95 93 92 92 89 89, NOT safe

52 54 54 51 50 48 46 42, NOT safe

30 33 31 29 29 22, NOT safe

42 44 43 40 39 35 32 31, NOT safe

71 73 70 69 66 62 61 62, NOT safe

23 25 21 20 19 19, NOT safe

39 40 39 35 33 29, NOT safe

37 40 39 36 35 31 29 22, NOT safe

66 67 64 62 57 56, NOT safe

70 73 68 65 62 65, NOT safe

20 22 21 16 13 13, NOT safe

61 62 59 58 56 49 45, NOT safe

58 59 58 56 53 46 41, NOT safe

35 35 33 30 29 28, SAFE

41 41 38 37 34 33 35, NOT safe

26 26 23 21 19 17 16 16, NOT safe

76 76 74 71 69 66 64 60, NOT safe

99 99 97 96 93 92 89 84, NOT safe

42 42 40 39 37 34 36 35, NOT safe

78 78 76 77 76 75 76, NOT safe

64 64 63 64 64, NOT safe

43 43 42 45 43 40 36, NOT safe

28 28 27 24 25 24 22 17, NOT safe

55 55 54 54 52, NOT safe

88 88 88 86 87, NOT safe

76 76 75 75 74 74, NOT safe

75 75 74 74 70, NOT safe

47 47 47 45 40, NOT safe

78 78 75 73 72 68 66, NOT safe

58 58 56 53 50 47 43 44, NOT safe

93 93 91 88 84 82 81 81, NOT safe

50 50 49 48 44 41 37, NOT safe

87 87 86 84 80 79 74, NOT safe

64 64 63 58 56 55, NOT safe

85 85 84 79 82, NOT safe

91 91 89 82 79 76 76, NOT safe

75 75 74 67 66 62, NOT safe

73 73 70 67 64 63 57 51, NOT safe

99 95 92 89 86 84, SAFE

83 79 78 76 74 76, NOT safe

75 71 70 69 68 68, NOT safe

38 34 32 29 25, NOT safe

95 91 90 87 82, NOT safe

66 62 60 58 61 59, NOT safe

24 20 17 15 16 18, NOT safe

18 14 11 9 11 10 9 9, NOT safe

63 59 56 59 58 54, NOT safe

75 71 72 70 63, NOT safe

77 73 70 68 68 67, NOT safe

83 79 79 78 77 75 72 73, NOT safe

72 68 67 66 63 62 62 62, NOT safe

42 38 38 37 35 33 29, NOT safe

26 22 22 20 18 12, NOT safe

47 43 39 37 36 33 30 27, NOT safe

33 29 28 24 21 23, NOT safe

54 50 46 44 42 41 41, NOT safe

94 90 89 88 87 84 80 76, NOT safe

27 23 19 18 12, NOT safe

18 14 13 10 5 4 3, NOT safe

67 63 62 59 52 53, NOT safe

19 15 8 7 4 4, NOT safe

29 25 18 16 15 11, NOT safe

41 37 35 34 27 26 20, NOT safe

85 79 78 76 74, SAFE

98 93 90 88 91, NOT safe

19 12 11 10 8 6 5 5, NOT safe

29 24 23 21 19 17 16 12, NOT safe

77 70 69 68 62, NOT safe

49 43 46 45 42, SAFE

45 40 37 35 34 37 35 36, NOT safe

72 67 69 66 65 62 62, NOT safe

84 78 79 77 76 72, NOT safe

26 21 24 23 21 20 15, NOT safe

95 90 90 89 87 85 82, NOT safe

83 76 75 74 74 73 72 73, NOT safe

86 79 76 76 76, NOT safe

69 64 63 60 59 59 55, NOT safe

31 26 24 24 22 21 20 13, NOT safe

60 53 49 46 44, NOT safe

75 69 65 62 63, NOT safe

79 73 69 66 65 64 61 61, NOT safe

93 88 86 82 80 76, NOT safe

66 60 59 57 56 53 49 44, NOT safe

71 65 59 58 57, NOT safe

77 70 65 64 62 64, NOT safe

57 50 45 42 39 36 36, NOT safe

68 62 60 58 53 52 49 45, NOT safe

26 19 18 17 14 9 3, NOT safe

14 19 23 24 24, NOT safe

97 93 90 88 88 85, NOT safe

76 72 71 68 66 66 59, NOT safe

48 46 46 43 42 41 38 31, NOT safe

38 33 30 27 27 28, NOT safe

5 5 8 11 13 15 19 19, NOT safe

22 20 21 23 25 28 25 27, NOT safe

87 89 90 92 89 93, SAFE

37 31 29 31 30 30, NOT safe

19 18 19 22 22 23 26 28, NOT safe

19 17 20 21 22 26 26, NOT safe

30 34 38 41 42 49, NOT safe

16 19 16 13 9 7 6 6, NOT safe

24 25 27 34 35 41, NOT safe

84 82 81 83 81 77, NOT safe

37 36 37 38 40 47 46, NOT safe

51 55 58 59 61 62 63 61, NOT safe

30 27 28 31 32 36, NOT safe

36 33 30 30 27 25 28, NOT safe

35 35 32 26 23 20 18, NOT safe

32 32 30 29 26 23 23, NOT safe

36 42 44 49 52, NOT safe

46 48 49 48 48, NOT safe

13 13 14 14 15 15, NOT safe

59 55 52 54 54, NOT safe

33 26 23 23 22 22, NOT safe

11 14 11 10 7 7 7, NOT safe

10 16 19 21 25 28 34, NOT safe

24 24 26 27 28 27, NOT safe

20 19 20 21 24 26 26, NOT safe

31 24 21 18 11 9, NOT safe

20 19 21 23 23 23, NOT safe

61 64 65 67 69 69 71 75, NOT safe

36 42 45 47 51 50, NOT safe

77 76 79 85 86 89 92 93, NOT safe

90 92 89 87 84 84 82 80, NOT safe

57 57 60 64 68, NOT safe

57 57 60 61 64, SAFE

23 27 28 29 32 34 35 39, NOT safe

18 15 13 12 10 10 10, NOT safe

11 10 7 10 12 16, NOT safe

41 40 37 30 29 28, NOT safe

16 17 14 15 18, NOT safe

35 36 37 39 41 44 48, SAFE

26 29 27 29 23, NOT safe

8 8 10 17 20 21 25, NOT safe

54 58 59 61 64 65 65 64, NOT safe

84 84 82 81 77, NOT safe

21 21 18 17 16 15 15 15, NOT safe

22 26 25 26 29 33, NOT safe

60 56 53 54 52 51 53, NOT safe

36 41 44 47 45 45, NOT safe

86 84 81 74 71 73, NOT safe

88 84 82 83 80 77 76 75, NOT safe

88 81 78 74 72 69 68 64, NOT safe

87 86 84 83 86 81, SAFE

39 39 42 44 46 47 47, NOT safe

22 16 12 9 8 6 4 7, NOT safe

68 70 69 69 68 65 61, NOT safe

63 66 63 60 58 61, NOT safe

46 53 56 57 59 56 53, NOT safe

29 28 32 35 39, NOT safe

38 38 37 30 27 29, NOT safe

77 83 84 89 91 93 97, NOT safe

61 68 71 74 75 77 84 91, NOT safe

17 21 23 21 24 25 32, NOT safe

44 46 46 48 48, NOT safe

67 73 76 79 81 83 82, NOT safe

58 54 52 48 46 45 45, NOT safe

77 81 82 83 85 87 88, SAFE

81 85 87 94 99, NOT safe

61 62 60 55 52 50, NOT safe

67 72 75 78 76 78 82, NOT safe

69 74 74 77 79 82, NOT safe

66 70 72 71 72 73 70, NOT safe

99 92 87 85 79, NOT safe

45 42 40 37 35 32 25, SAFE

49 45 43 42 41 39 37 39, NOT safe

66 68 69 71 72 74 71, SAFE

41 38 36 33 29 26 25, NOT safe

66 66 64 60 57 59, NOT safe

